GCR	ITR	MTR	PCR	XTR	YER
210971.7566	207310.6583	183870.5873	594658.2379	208963.8665	1022897.482
211259.6928	207456.275	185772.4076	594640.2717	211415.0595	1029590.655
211942.4754	208057.5061	186076.2286	593584.1336	214062.8817	1032265.503
213292.0801	206335.5535	188428.4385	598619.8769	218042.1273	1043554.741
213888.0979	207711.4059	193323.2622	603970.2221	229639.1007	1052520.462
215150.5338	202812.455	193380.3535	601975.6467	225918.2118	1047546.812
216099.6805	205550.7811	196813.132	603140.3968	233167.6245	1058346.98
218002.1364	207281.3586	198207.7465	604168.3325	236610.8179	1063763.158
219236.9289	204900.9918	202710.871	609452.7443	240385.5677	1066153.524
220590.1267	208204.4386	202031.7948	613525.5706	239130.1058	1076326.646
222141.455	212526.4589	206674.2127	619245.8061	241926.5187	1085437.935
224152.1152	215056.2699	207276.9623	623807.3961	242269.0262	1091909.172
224883.9436	212968.3462	208039.5308	625953.7645	238513.1109	1088184.16
226836.5659	218606.723	215880.6388	637263.2736	242732.7795	1108136.342
228243.7245	221738.2362	221389.7614	641940.0745	243909.3551	1113765.851
229842.3946	223704.9364	221943.9896	646823.9941	242250.96	1116523.971
232042.6875	220024.1128	227096.8321	647966.243	241073.7476	1111165.475
234173.5097	227346.2356	232642.705	659171.0617	244667.3443	1129885.844
235667.0356	232617.5051	242048.915	664842.4127	256869.9248	1142019.777
237744.2214	236127.0975	246965.0827	673210.2521	256888.5198	1156576.965
239327.2122	239936.1927	244821.2031	673565.9547	251648.237	1162963.598
240190.52	244469.5253	253595.705	677291.8265	264984.2342	1173654.389
241225.3719	248585.8514	262538.3165	687048.2623	269215.3227	1188191.315
243317.1044	253098.6182	267521.3786	692185.7233	276163.4438	1199180.242
242665.9031	259632.4527	274023.97	698857.5298	280208.4635	1213266.155
244520.7888	262206.9736	282295.8738	703222.3924	291536.0722	1224800.174
245639.432	264048.5638	281303.8634	711371.5525	287022.1518	1232124.226
245680.5801	270259.0877	289977.5206	718746.2655	291883.1525	1244963.561
249541.5872	278268.4696	298498.2205	724622.1653	301424.3363	1261841.78
251463.965	276680.4297	302251.582	729272.2231	301494.7374	1267603.949
252786.81	277636.1095	307129.3892	731709.4433	312404.8451	1279360.348
254321.3649	279728.2402	316914.6937	738160.4292	323154.8106	1286599.817
255775.6297	279732.6468	319230.53	746269.4215	319730.2756	1295490.997
259676.7917	280354.3404	320694.8487	752671.0151	317872.7827	1299339.101
263327.3406	279906.3269	325743.7573	750183.5487	324677.8917	1298980.135
266373.3313	283671.082	325032.4461	760766.1328	330340.2816	1311333.451
267978.7283	288771.9886	334860.0923	765374.3798	335108.4741	1331128.731
268227.4257	284531.0819	333685.3297	766244.2919	333026.2332	1320967.889
270561.8961	279056.1206	331509.9795	764854.3183	332923.2141	1317268.799
272072.3592	276693.236	330736.3986	771160.1623	332295.8595	1314634.807
272421.6062	268885.7635	317950.5633	758314.4608	331631.5834	1305677.494
273872.4736	264661.3467	316797.9121	758183.953	330784.8236	1306646.005
274167.176	265025.2668	319339.7889	760630.7416	335355.3909	1312063.511
274841.0493	262460.935	322152.5958	764914.4477	344588.9486	1315499.256
276858.1122	265141.4378	330244.2144	765493.1613	353626.3665	1327688.882
276587.5164	269440.5954	339792.2817	767698.3652	362132.3814	1335958.091
276795.3304	272330.1738	350221.0216	773278.1729	367977.8333	1344954.821
278634.1907	279058.1255	361897.6496	776802.2231	378912.9449	1355626.071
274951.4896	275215.1612	366993.6075	780237.0281	391645.6817	1362989.699
277216.7007	277333.7915	373987.475	789392.5043	398336.0372	1370566.813
279302.0302	277074.6102	376232.4269	790384.735	395058.7096	1375101.808
282100.4126	279491.5794	379696.5017	790577.307	399584.8205	1379707.733
280138.4217	272896.8104	382995.1648	797854.2153	405537.8301	1380634.33
282454.6793	283680.5065	382075.084	799802.7565	408720.5155	1390837.982
284849.0707	284777.7769	387133.5931	803300.6863	416662.3778	1398002.183
285027.8471	284193.9511	397355.3505	803474.5376	428152.4177	1402115.932
285947.2571	281756.5013	404552.2011	806657.9485	436624.4867	1407871.076
287316.5832	287987.4387	417628.9372	814653.606	453087.9905	1424812.484
286975.8354	290237.7442	430738.5714	815965.5224	470889.2567	1434331.268
286367.7669	296199.398	441654.7662	823611.8868	478862.8466	1448593.436
288304.1111	300721.6526	455679.7688	829278.3936	486215.8056	1458508.32
289882.281	302489.1851	464259.6061	836240.4372	495658.778	1464778.571
290700.713	308710.1779	470974.6425	843655.2272	496031.5065	1472380.486
291883.3783	311298.798	475070.0133	850789.8279	493002.4058	1475347.832
294596.0779	316652.272	483215.8456	857836.4164	496413.546	1489081.48
294246.1234	322596.3034	495954.9395	861979.9708	512313.4736	1498049.405
296282.7648	328438.6512	508647.4098	871602.0043	529045.0156	1516203.658
297506.8357	331967.0438	523756.2786	880129.9049	544285.3285	1534729.212
301189.1333	339477.2315	540161.8524	887144.9594	564547.3802	1552192.557
301802.718	341234.2083	554215.3935	896048.214	578231.8291	1567176.758
303400.3572	344271.559	568119.2667	898594.4665	594041.234	1574610.087
304602.4129	343395.2684	587793.8187	899708.9404	616156.9493	1586586.18
306752.0711	346783.3324	581557.5789	909997.6805	616129.351	1598396.346
307740.2799	345164.4666	578870.4122	914026.2331	611739.1764	1599546.91
308940.4113	343174.1014	572560.7833	916178.0453	608974.6727	1600542.421
312634.6491	340538.232	565095.7608	914613.1367	609021.0499	1602469.639
313206.1473	340095.5234	566049.0336	915655.6122	609988.7187	1606586.788
316225.9847	335867.35	573576.159	918765.4045	620938.1301	1613680.702
317419.998	339041.1165	580139.284	925349.733	626817.2134	1619260.47
319252.1177	341184.8104	588266.2669	927286.0736	631806.3985	1620397.147
319205.8374	340408.8532	593306.0442	927917.8479	625398.5735	1621530.612
321087.2077	342197.3296	589930.0343	931606.3937	621531.851	1621493.734
323210.9824	345232.443	594182.6853	937116.6635	632170.9863	1629734.693
324803.7962	346548.3375	606336.8522	936788.5214	642932.4799	1639330.594
325121.5419	348500.1956	615317.3162	942711.1224	656597.9728	1648516.654
326410.3658	349640.9109	630901.2	945174.1243	673208.641	1655647.723
327457.9497	350926.9025	641996.9043	947070.3362	675381.4787	1661408.126
327410.949	352622.8318	652718.3161	954190.0493	684060.7064	1667075.133
328899.331	353427.4796	647871.4407	957158.9863	684774.8194	1672461.901
331903.3304	359708.426	667767.492	961763.2891	699894.4946	1682725.65
333029.0087	365298.9252	679229.7689	967372.6951	716156.3258	1693520.33
332561.3008	369064.1362	693460.8014	967932.0066	722712.0919	1701887.472
336269.255	370646.1506	709180.3632	975676.9737	744053.5326	1716008.493
337366.0598	381407.7892	717583.9533	979222.9255	756252.5533	1733070.212
338686.6188	384283.3942	728163.1721	983707.0499	763520.8199	1742684.872
340753.5645	391056.723	741391.418	989030.6652	787135.6986	1757455.732
344419.965	395947.343	752535.7348	990348.2125	793964.114	1771749.233
345187.8932	396106.9006	754629.5883	996467.5052	801663.4717	1777795.399
347163.7681	399014.3107	772757.8678	1001657.032	818018.2245	1789046.622
347674.4407	403351.2147	770875.942	1001016.317	821555.5477	1795527.862
