dateid01	infl
2004-01-01	3.087712310103115
2004-04-01	3.8324960613938088
2004-07-01	1.3947757135827816
2004-10-01	4.6660263581997025
2005-01-01	2.7471612458699847
2005-04-01	0.6750809047240575
2005-07-01	10.360905054941967
2005-10-01	-0.26787381955098166
2006-01-01	2.7843251911850784
2006-04-01	3.566972317817275
2006-07-01	2.1583510619931525
2006-10-01	1.5447119119343188
2007-01-01	4.0097349182954681
2007-04-01	2.5519920009601128
2007-07-01	2.8380862416825106
2007-10-01	6.5505367534218138
2008-01-01	3.8337019187141544
2008-04-01	6.2950377693529738
2008-07-01	2.6370495845677425
2008-10-01	-12.542389768593342
2009-01-01	2.1911268904138703
2009-04-01	1.9690885722051097
2009-07-01	3.2526421756109788
2009-10-01	3.1636066749125381
2010-01-01	0.85852092758998463
